entity_id;state;last_updated
sensor.sm_g960f_battery_level;99;2023-01-16 06:16:43.207775
sensor.sm_g960f_battery_state;discharging;2023-01-16 06:16:43.384227
binary_sensor.sm_g960f_is_charging;off;2023-01-16 06:16:43.471923
sensor.sm_g960f_charger_type;none;2023-01-16 06:16:43.585856
sensor.sm_g960f_battery_temperature;20.7;2023-01-16 06:16:43.799752
sensor.sm_g960f_battery_power;0.0;2023-01-16 06:16:43.890116
device_tracker.sm_g960f;home;2023-01-16 06:16:46.142147
device_tracker.sm_g960f;home;2023-01-16 06:17:19.262698
device_tracker.sm_g960f;home;2023-01-16 06:17:38.307903
device_tracker.sm_g960f;home;2023-01-16 06:17:51.084912
device_tracker.sm_g960f;home;2023-01-16 06:18:02.385691
device_tracker.sm_g960f;home;2023-01-16 06:18:12.353005
sensor.sm_g960f_battery_level;97;2023-01-16 06:18:59.155969
sensor.sm_g960f_battery_temperature;25.9;2023-01-16 06:18:59.157008
sensor.sm_g960f_battery_power;0.0;2023-01-16 06:18:59.157873
device_tracker.sm_g960f;home;2023-01-16 06:19:00.405834
device_tracker.sm_g960f;home;2023-01-16 06:19:10.887252
device_tracker.sm_g960f;home;2023-01-16 06:19:20.443400
device_tracker.sm_g960f;home;2023-01-16 06:19:30.391066
device_tracker.sm_g960f;home;2023-01-16 06:19:40.507457
sensor.sm_g960f_battery_power;0.0;2023-01-16 06:20:05.950805
device_tracker.sm_g960f;home;2023-01-16 06:20:08.028152
device_tracker.sm_g960f;home;2023-01-16 06:20:18.942225
device_tracker.sm_g960f;home;2023-01-16 06:20:27.977551
device_tracker.sm_g960f;home;2023-01-16 06:20:47.675985
device_tracker.sm_g960f;home;2023-01-16 06:21:03.360588
device_tracker.sm_g960f;home;2023-01-16 06:21:31.611712
sensor.sm_g960f_battery_level;96;2023-01-16 06:21:32.213131
sensor.sm_g960f_battery_temperature;27.1;2023-01-16 06:21:32.214178
sensor.sm_g960f_battery_power;0.0;2023-01-16 06:21:32.215048
sensor.sm_g960f_geocoded_location;Av. Mal. Humberto Delgado 112, 4760-012 Vila Nova de Famalicão, Portugal;2023-01-16 06:21:32.215832
device_tracker.sm_g960f;home;2023-01-16 06:21:43.191520
device_tracker.sm_g960f;home;2023-01-16 06:21:53.199045
device_tracker.sm_g960f;home;2023-01-16 06:22:03.177047
device_tracker.sm_g960f;home;2023-01-16 06:22:13.205307
device_tracker.sm_g960f;home;2023-01-16 06:23:09.267775
device_tracker.sm_g960f;home;2023-01-16 06:24:12.732457
device_tracker.sm_g960f;home;2023-01-16 06:24:42.361159
device_tracker.sm_g960f;home;2023-01-16 06:25:15.733907
device_tracker.sm_g960f;home;2023-01-16 06:26:34.573691
device_tracker.sm_g960f;home;2023-01-16 06:27:04.973900
sensor.sm_g960f_battery_level;93;2023-01-16 06:31:49.598775
