entity_id,state,last_updated
sensor.sm_a336b_app_memory,0.028,2023-01-27 00:01:59.331110
sensor.sm_a336b_volume_level_music,2,2023-01-27 00:01:59.333012
sensor.sm_a336b_volume_level_accessibility,3,2023-01-27 00:01:59.339265
sensor.sm_a336b_battery_power,0.0,2023-01-27 00:01:59.341175
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 00:01:59.342952
sensor.sm_a336b_total_rx_gb,43.874,2023-01-27 00:01:59.348082
sensor.sm_a336b_total_tx_gb,1.353,2023-01-27 00:01:59.349925
device_tracker.sm_a336b,Cate Home,2023-01-27 00:06:18.155721
sensor.sm_a336b_app_memory,0.03,2023-01-27 00:12:47.378477
sensor.sm_a336b_battery_level,46,2023-01-27 00:12:47.382708
sensor.sm_a336b_battery_temperature,27.4,2023-01-27 00:12:47.385536
sensor.sm_a336b_battery_power,0.0,2023-01-27 00:12:47.387449
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 00:12:47.389181
sensor.sm_a336b_wifi_link_speed,390,2023-01-27 00:12:47.390869
sensor.sm_a336b_total_rx_gb,43.952,2023-01-27 00:12:47.393008
sensor.sm_a336b_total_tx_gb,1.355,2023-01-27 00:12:47.394750
device_tracker.sm_a336b,Cate Home,2023-01-27 00:21:18.769107
sensor.sm_a336b_app_memory,0.032,2023-01-27 00:27:48.137445
sensor.sm_a336b_battery_level,44,2023-01-27 00:27:48.141531
sensor.sm_a336b_battery_temperature,29.9,2023-01-27 00:27:48.143548
sensor.sm_a336b_battery_power,0.0,2023-01-27 00:27:48.145407
sensor.sm_a336b_wifi_signal_strength,-46,2023-01-27 00:27:48.147462
sensor.sm_a336b_total_rx_gb,44.08,2023-01-27 00:27:48.149255
sensor.sm_a336b_total_tx_gb,1.358,2023-01-27 00:27:48.150977
sensor.sm_a336b_app_rx_gb,0.0511,2023-01-27 00:32:00.293819
sensor.sm_a336b_app_memory,0.018,2023-01-27 00:32:00.297475
sensor.sm_a336b_battery_power,0.0,2023-01-27 00:32:00.301094
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 00:32:00.312522
sensor.sm_a336b_total_rx_gb,44.13,2023-01-27 00:32:00.316548
sensor.sm_a336b_total_tx_gb,1.359,2023-01-27 00:32:00.318519
device_tracker.sm_a336b,Cate Home,2023-01-27 00:36:19.481306
sensor.sm_a336b_app_memory,0.021,2023-01-27 00:39:54.175662
binary_sensor.sm_a336b_music_active,off,2023-01-27 00:39:54.179801
sensor.sm_a336b_battery_level,43,2023-01-27 00:39:54.192861
sensor.sm_a336b_battery_temperature,29.5,2023-01-27 00:39:54.194822
sensor.sm_a336b_battery_power,0.0,2023-01-27 00:39:54.196828
binary_sensor.sm_a336b_device_locked,on,2023-01-27 00:39:54.198672
sensor.sm_a336b_last_used_app,com.sec.android.app.launcher,2023-01-27 00:39:54.200323
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 00:39:54.202905
sensor.sm_a336b_wifi_link_speed,433,2023-01-27 00:39:54.204711
sensor.sm_a336b_active_notification_count,1,2023-01-27 00:39:54.206457
binary_sensor.sm_a336b_interactive,off,2023-01-27 00:39:54.210295
sensor.sm_a336b_total_rx_gb,44.206,2023-01-27 00:39:54.212052
sensor.sm_a336b_total_tx_gb,1.361,2023-01-27 00:39:54.213717
device_tracker.sm_a336b,Cate Home,2023-01-27 00:39:58.039099
device_tracker.sm_a336b,Cate Home,2023-01-27 00:41:24.110903
