entity_id,state,last_updated
device_tracker.cph2197,home,2023-01-27 00:05:45.528793
sensor.cph2197_app_memory,0.019,2023-01-27 00:11:55.388714
sensor.cph2197_battery_temperature,18.9,2023-01-27 00:11:55.390808
sensor.cph2197_battery_power,0.0,2023-01-27 00:11:55.395070
sensor.cph2197_total_rx_gb,1.766,2023-01-27 00:11:55.400188
sensor.cph2197_total_tx_gb,0.036,2023-01-27 00:11:55.401948
device_tracker.cph2197,home,2023-01-27 00:21:43.014492
sensor.cph2197_app_rx_gb,0.0024,2023-01-27 00:26:28.007238
sensor.cph2197_app_memory,0.021,2023-01-27 00:26:28.009284
sensor.cph2197_battery_temperature,19.0,2023-01-27 00:26:28.014002
sensor.cph2197_battery_power,0.0,2023-01-27 00:26:28.015962
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 00:26:28.017671
sensor.cph2197_total_rx_gb,1.767,2023-01-27 00:26:28.026602
sensor.cph2197_app_memory,0.023,2023-01-27 00:26:56.388700
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 00:26:56.394657
device_tracker.cph2197,home,2023-01-27 00:39:00.917653
sensor.cph2197_app_memory,0.026,2023-01-27 00:41:57.129702
sensor.cph2197_battery_temperature,18.7,2023-01-27 00:41:57.131894
sensor.cph2197_battery_power,0.0,2023-01-27 00:41:57.133891
sensor.cph2197_total_rx_gb,1.768,2023-01-27 00:41:57.143678
device_tracker.cph2197,home,2023-01-27 00:54:36.363520
sensor.cph2197_app_memory,0.02,2023-01-27 00:56:28.976223
sensor.cph2197_battery_temperature,18.5,2023-01-27 00:56:28.982481
sensor.cph2197_battery_power,0.0,2023-01-27 00:56:28.984548
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 00:56:28.986288
sensor.cph2197_total_rx_gb,1.769,2023-01-27 00:56:28.993948
sensor.cph2197_app_memory,0.022,2023-01-27 00:57:45.322631
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 00:57:45.326327
device_tracker.cph2197,home,2023-01-27 01:07:48.932405
device_tracker.cph2197,home,2023-01-27 01:09:36.190852
sensor.cph2197_app_memory,0.024,2023-01-27 01:17:08.027226
sensor.cph2197_battery_temperature,18.4,2023-01-27 01:17:08.031557
sensor.cph2197_total_rx_gb,1.77,2023-01-27 01:17:08.038462
device_tracker.cph2197,home,2023-01-27 01:25:13.415976
sensor.cph2197_app_memory,0.027,2023-01-27 01:26:29.749586
sensor.cph2197_battery_temperature,18.3,2023-01-27 01:26:29.751617
sensor.cph2197_battery_power,0.0,2023-01-27 01:26:29.755869
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 01:26:29.757706
sensor.cph2197_total_rx_gb,1.771,2023-01-27 01:26:29.763191
sensor.cph2197_app_memory,0.015,2023-01-27 01:32:30.361579
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 01:32:30.367475
device_tracker.cph2197,home,2023-01-27 01:41:14.248805
sensor.cph2197_app_memory,0.018,2023-01-27 01:48:35.637262
sensor.cph2197_battery_temperature,18.4,2023-01-27 01:48:35.639151
sensor.cph2197_total_rx_gb,1.772,2023-01-27 01:48:35.647064
sensor.cph2197_total_tx_gb,0.037,2023-01-27 01:48:35.648751
device_tracker.cph2197,home,2023-01-27 01:56:29.460738
sensor.cph2197_app_memory,0.02,2023-01-27 01:56:30.589777
sensor.cph2197_battery_temperature,18.2,2023-01-27 01:56:30.591830
sensor.cph2197_battery_power,0.0,2023-01-27 01:56:30.597256
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 01:56:30.599050
sensor.cph2197_total_rx_gb,1.773,2023-01-27 01:56:30.606255
sensor.cph2197_app_memory,0.022,2023-01-27 02:03:44.090758
sensor.cph2197_battery_temperature,18.4,2023-01-27 02:03:44.092793
sensor.cph2197_battery_power,0.0,2023-01-27 02:03:44.094742
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 02:03:44.098625
device_tracker.cph2197,home,2023-01-27 02:15:01.361928
sensor.cph2197_app_memory,0.025,2023-01-27 02:19:30.233854
sensor.cph2197_battery_temperature,18.1,2023-01-27 02:19:30.235876
sensor.cph2197_total_rx_gb,1.774,2023-01-27 02:19:30.247038
device_tracker.cph2197,home,2023-01-27 02:20:39.872520
sensor.cph2197_app_rx_gb,0.0025,2023-01-27 02:26:32.024161
sensor.cph2197_app_memory,0.027,2023-01-27 02:26:32.026330
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 02:26:32.031382
device_tracker.cph2197,home,2023-01-27 02:34:06.527651
sensor.cph2197_app_memory,0.019,2023-01-27 02:34:07.917608
sensor.cph2197_battery_power,0.0,2023-01-27 02:34:07.919700
sensor.cph2197_last_update_trigger,android.net.wifi.WIFI_STATE_CHANGED,2023-01-27 02:34:07.924631
