entity_id,state,last_updated
device_tracker.cph2371,home,2023-01-27 00:07:17.117618
sensor.cph2371_app_memory,0.025,2023-01-27 00:07:17.494824
sensor.cph2371_battery_temperature,20.5,2023-01-27 00:07:17.496856
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 00:07:17.502626
sensor.cph2371_total_rx_gb,0.424,2023-01-27 00:07:17.507629
sensor.cph2371_app_memory,0.027,2023-01-27 00:21:11.102117
sensor.cph2371_battery_temperature,20.7,2023-01-27 00:21:11.104190
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 00:21:11.109716
sensor.cph2371_total_rx_gb,0.425,2023-01-27 00:21:11.117276
sensor.cph2371_total_tx_gb,0.027,2023-01-27 00:21:11.119085
device_tracker.cph2371,home,2023-01-27 00:22:16.764966
sensor.cph2371_app_memory,0.019,2023-01-27 00:22:17.981857
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 00:22:17.987075
device_tracker.cph2371,home,2023-01-27 00:41:17.258107
sensor.cph2371_app_memory,0.022,2023-01-27 00:41:17.561738
sensor.cph2371_battery_temperature,20.6,2023-01-27 00:41:17.563789
sensor.cph2371_total_rx_gb,0.426,2023-01-27 00:41:17.571905
sensor.cph2371_app_memory,0.024,2023-01-27 00:51:11.974561
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 00:51:11.979659
sensor.cph2371_total_rx_gb,0.427,2023-01-27 00:51:11.986226
device_tracker.cph2371,home,2023-01-27 00:56:37.707299
sensor.cph2371_app_rx_gb,0.0023,2023-01-27 00:56:38.074557
sensor.cph2371_app_memory,0.027,2023-01-27 00:56:38.076619
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 00:56:38.081430
device_tracker.cph2371,home,2023-01-27 01:14:56.707964
sensor.cph2371_app_memory,0.023,2023-01-27 01:14:56.996185
sensor.cph2371_battery_temperature,20.4,2023-01-27 01:14:56.998233
sensor.cph2371_total_rx_gb,0.428,2023-01-27 01:14:57.009226
sensor.cph2371_app_memory,0.025,2023-01-27 01:21:13.128257
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 01:21:13.133233
sensor.cph2371_total_rx_gb,0.429,2023-01-27 01:21:13.138259
sensor.cph2371_app_memory,0.027,2023-01-27 01:29:57.832784
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 01:29:57.836509
device_tracker.cph2371,home,2023-01-27 01:30:41.588637
sensor.cph2371_app_memory,0.025,2023-01-27 01:45:09.067014
sensor.cph2371_battery_temperature,20.1,2023-01-27 01:45:09.070015
sensor.cph2371_total_rx_gb,0.43,2023-01-27 01:45:09.078542
sensor.cph2371_total_tx_gb,0.028,2023-01-27 01:45:09.080318
device_tracker.cph2371,home,2023-01-27 01:46:08.581298
device_tracker.cph2371,home,2023-01-27 01:50:08.708273
sensor.cph2371_app_memory,0.027,2023-01-27 01:51:13.975086
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 01:51:13.980968
sensor.cph2371_app_memory,0.015,2023-01-27 02:02:34.631714
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 02:02:34.635431
sensor.cph2371_total_rx_gb,0.432,2023-01-27 02:02:34.642686
device_tracker.cph2371,home,2023-01-27 02:07:19.196139
sensor.cph2371_app_memory,0.017,2023-01-27 02:17:46.383001
sensor.cph2371_battery_temperature,20.3,2023-01-27 02:17:46.385094
sensor.cph2371_total_rx_gb,0.433,2023-01-27 02:17:46.394258
sensor.cph2371_app_memory,0.02,2023-01-27 02:21:14.214056
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 02:21:14.220263
device_tracker.cph2371,home,2023-01-27 02:26:19.254366
sensor.cph2371_app_memory,0.022,2023-01-27 02:32:47.176694
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 02:32:47.182633
device_tracker.cph2371,home,2023-01-27 02:43:49.300594
sensor.cph2371_app_memory,0.025,2023-01-27 02:50:05.158558
sensor.cph2371_battery_temperature,20.0,2023-01-27 02:50:05.160667
sensor.cph2371_total_rx_gb,0.434,2023-01-27 02:50:05.169534
sensor.cph2371_app_memory,0.027,2023-01-27 02:51:15.578348
sensor.cph2371_battery_temperature,20.1,2023-01-27 02:51:15.581630
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 02:51:15.585158
sensor.cph2371_total_rx_gb,0.435,2023-01-27 02:51:15.591695
sensor.cph2371_app_rx_gb,0.0024,2023-01-27 02:53:19.414127
